"","x"
"1",-0.103
"2",0.183
"3",0.241
"4",0.281
"5",0.298
"6",0.065
"7",0.102
"8",0.143
"9",-0.029
"10",-0.083
"11",-0.315
"12",-0.329
"13",-0.258
"14",-0.255
"15",0.001
"16",0.204
"17",0.318
"18",0.595
"19",0.585
"20",0.524
"21",0.315
"22",0.059
"23",0.005
"24",-0.191
"25",-0.545
"26",-0.693
"27",-0.774
"28",-0.76
"29",-0.407
"30",-0.285
"31",-0.002
"32",0.251
"33",0.318
"34",0.534
"35",0.46
"36",0.247
"37",0.19
"38",-0.053
"39",-0.012
"40",-0.053
"41",-0.241
"42",-0.191
"43",-0.248
"44",-0.295
"45",-0.171
"46",-0.154
"47",0.018
"48",0.217
"49",0.183
"50",0.298
"51",0.227
"52",0.112
"53",-0.096
"54",-0.359
"55",-0.447
"56",-0.481
"57",-0.578
"58",-0.417
"59",-0.339
"60",-0.225
"61",0.197
"62",0.311
"63",0.423
"64",0.402
"65",0.143
"66",0.038
"67",-0.002
"68",-0.117
"69",-0.083
"70",-0.161
"71",-0.268
"72",-0.127
"73",-0.123
"74",0.18
"75",0.375
"76",0.308
"77",0.399
"78",0.173
"79",-0.093
"80",-0.154
"81",-0.393
"82",-0.305
"83",-0.208
"84",-0.046
"85",0.406
"86",0.621
"87",0.389
"88",0.22
"89",-0.204
"90",-0.299
"91",-0.356
"92",-0.39
"93",-0.315
"94",-0.326
"95",-0.154
"96",-0.12
"97",-0.174
"98",0.089
"99",0.278
"100",0.328
"101",0.44
"102",0.352
"103",0.096
"104",0.059
"105",-0.218
"106",-0.299
"107",-0.346
"108",-0.41
"109",-0.285
"110",-0.275
"111",-0.194
"112",0.15
"113",0.268
"114",0.402
"115",0.547
"116",0.416
"117",0.345
"118",0.042
"119",-0.069
"120",-0.093
"121",-0.322
"122",-0.373
"123",-0.329
"124",-0.258
"125",-0.069
"126",0.055
"127",0.204
"128",0.251
"129",0.109
"130",0.089
"131",0.166
"132",0.045
"133",0.072
"134",-0.063
"135",-0.245
"136",-0.191
"137",-0.157
"138",-0.009
"139",0.069
"140",0.005
"141",0.069
"142",0.005
"143",-0.103
"144",0.015
"145",-0.1
"146",-0.019
"147",0.14
"148",0.001
"149",0.008
"150",-0.1
"151",-0.262
"152",-0.302
"153",-0.403
"154",-0.272
"155",-0.059
"156",-0.049
"157",0.072
"158",-0.016
"159",-0.171
"160",-0.157
"161",-0.258
"162",-0.285
"163",-0.133
"164",0.008
"165",0.055
"166",0.23
"167",0.234
"168",0.416
"169",0.487
"170",0.402
"171",0.305
"172",0.022
"173",-0.15
"174",-0.315
"175",-0.481
"176",-0.504
"177",-0.76
"178",-0.73
"179",-0.521
"180",-0.386
"181",-0.019
"182",0.16
"183",0.214
"184",0.426
"185",0.571
"186",0.726
"187",0.928
"188",0.83
"189",0.601
"190",0.197
"191",-0.191
"192",-0.164
"193",-0.494
"194",-0.706
"195",-0.642
"196",-0.471
"197",-0.181
"198",0.008
"199",0.177
"200",0.507
"201",0.591
"202",0.618
"203",0.46
"204",0.284
"205",0.271
"206",0.112
"207",-0.12
"208",-0.177
"209",-0.187
"210",-0.326
"211",-0.225
"212",-0.265
"213",-0.14
"214",-0.022
"215",-0.127
"216",0.112
"217",0.251
"218",0.301
"219",0.409
"220",0.237
"221",0.109
"222",0.005
"223",-0.167
"224",-0.043
"225",-0.073
"226",-0.133
"227",0.048
"228",-0.063
"229",0.011
"230",0.16
"231",0.136
"232",0.237
"233",0.268
"234",0.112
"235",0.055
"236",-0.106
"237",-0.181
"238",-0.225
"239",-0.356
"240",-0.161
"241",-0.063
"242",-0.076
"243",0.092
"244",0.109
"245",0.123
"246",0.288
"247",0.227
"248",0.349
"249",0.5
"250",0.18
"251",-0.039
"252",-0.275
"253",-0.45
"254",-0.467
"255",-0.619
"256",-0.457
"257",-0.292
"258",-0.137
"259",0.129
"260",0.399
"261",0.426
"262",0.493
"263",0.268
"264",0.281
"265",0.16
"266",-0.127
"267",-0.204
"268",-0.433
"269",-0.605
"270",-0.488
"271",-0.43
"272",-0.059
"273",0.244
"274",0.551
"275",0.884
"276",0.638
"277",0.146
"278",-0.029
"279",-0.332
"280",-0.352
"281",-0.346
"282",-0.572
"283",-0.339
"284",-0.245
"285",-0.332
"286",-0.238
"287",-0.059
"288",0.217
"289",0.244
"290",0.086
"291",-0.022
"292",-0.154
"293",-0.309
"294",-0.322
"295",-0.444
"296",-0.275
"297",-0.198
"298",-0.241
"299",-0.016
"300",0.079
"301",0.099
"302",0.284
"303",0.065
"304",0.055
"305",0.062
"306",-0.09
"307",-0.026
"308",-0.049
"309",-0.127
"310",0.109
"311",0.001
"312",-0.009
"313",-0.056
"314",-0.127
"315",0.008
"316",0.059
"317",0.075
"318",0.187
"319",0.106
"320",0.005
